hum,mq,ts,temp
63,239,8381,21
63,235,8386,21
63,238,8392,21
63,241,8397,21
63,240,8402,21
63,238,8407,21
63,240,8413,21
63,238,8418,21
63,235,8423,21
63,238,8428,21
63,243,8434,21
63,245,8439,21
63,235,8444,21
63,238,8450,21
63,227,8455,21
63,231,8460,21
62,235,8465,21
63,240,8471,21
63,238,8476,21
63,239,8481,21
63,240,8486,21
63,237,8492,21
63,224,8497,21
63,231,8502,21
63,237,8508,21
63,235,8513,21
63,234,8518,21
63,244,8523,21
63,249,8529,21
63,245,8534,21
63,238,8539,21
63,232,8545,21
63,225,8550,21
63,229,8555,21
63,228,8560,21
62,230,8566,21
62,231,8571,21
62,232,8576,21
62,244,8581,21
63,234,8587,21
63,234,8592,21
62,258,8597,21
63,240,8603,21
62,223,8608,21
62,226,8613,21
62,231,8618,21
62,235,8624,21
62,242,8629,21
62,236,8634,21
62,246,8639,21
62,234,8645,21
62,227,8650,21
62,229,8655,21
62,235,8661,21
62,228,8666,21
62,237,8671,21
62,232,8676,21
62,236,8682,21
62,223,8687,21
62,227,8692,21
62,230,8697,21
62,243,8703,21
63,238,8708,21
63,225,8713,21
62,215,8719,21
62,217,8724,21
62,223,8729,21
62,231,8734,21
62,231,8740,21
62,219,8745,21
62,221,8750,21
62,234,8755,21
62,229,8761,21
62,238,8766,21
62,240,8771,21
62,243,8777,21
63,247,8782,21
63,250,8787,21
63,246,8792,21
63,241,8798,21
63,240,8803,21
63,245,8808,21
63,258,8813,21
63,252,8819,21
63,255,8824,21
63,260,8829,21
63,245,8835,21
63,269,8840,21
64,252,8845,21
64,247,8850,21
63,246,8856,21
63,251,8861,21
63,240,8866,21
63,240,8871,21
63,239,8877,21
63,233,8882,21
63,240,8887,21
63,241,8893,21
63,232,8898,21
63,239,8903,21
63,240,8908,21
63,250,8914,21
63,245,8919,21
63,239,8924,21
63,240,8929,21
63,243,8935,21
63,240,8940,21
63,240,8945,21
63,250,8951,21
63,247,8956,21
63,241,8961,21
63,241,8966,21
63,256,8972,21
63,256,8977,21
63,269,8982,21
63,240,8988,21
63,223,8993,21
63,228,8998,21
63,240,9003,21
63,241,9009,21
63,243,9014,21
63,240,9019,21
63,227,9024,21
63,243,9030,21
63,235,9035,21
63,228,9040,21
63,224,9046,21
